date,state,county,zip,agency,agency_id,ori,type,population_policed,operating_budget,agency_type
2025-05-16 am,ALABAMA,Colbert County,36351,colbert county sheriff,630119,AL0200000,Jail Enforcement Model,54762,3500000,(001) Sheriff
2025-05-16 am,ALABAMA,Colbert County,36351,colbert county sheriff,630119,AL0200000,Warrant Service Officer,54762,3500000,(001) Sheriff
2025-05-16 am,ALABAMA,Crenshaw County,36049,crenshaw county sheriff,630130,AL0240000,Warrant Service Officer,13824,605910,(001) Sheriff
2025-05-16 am,ALABAMA,Elmore County,36092,elmore county sheriff,630158,AL0290000,Jail Enforcement Model,81887,6000000,(001) Sheriff
2025-05-16 am,ALABAMA,Etowah County,35901,etowah county sheriff,630162,AL0310000,Jail Enforcement Model,102501,9846147,(001) Sheriff
2025-05-16 am,ALABAMA,Franklin County,35653,franklin county sheriff,630180,AL0330000,Warrant Service Officer,31363,3500000,(001) Sheriff
2025-05-16 am,ALABAMA,Franklin County,35653,franklin county sheriff,630180,AL0330000,Task Force Model,31363,3500000,(001) Sheriff
2025-05-16 am,ALABAMA,Henry County,36310,henry county sheriff,630225,AL0370000,Jail Enforcement Model,17209,1450000,(001) Sheriff
2025-05-16 am,ALABAMA,Henry County,36310,henry county sheriff,630225,AL0370000,Warrant Service Officer,17209,1450000,(001) Sheriff
2025-05-16 am,ALASKA,NA,NA,alaska of corrections,NA,NA,Warrant Service Officer,NA,NA,NA
2025-05-16 am,ALASKA,NA,99615,kodiak police,629978,AK0010500,Warrant Service Officer,5968,7400000,(003) Local Police
2025-05-16 am,ARIZONA,NA,NA,arizona of corrections,NA,NA,Jail Enforcement Model,NA,NA,NA
2025-05-16 am,ARIZONA,La Paz County,85344,la paz county sheriff,635278,AZ0150000,Jail Enforcement Model,21098,9041444,(001) Sheriff
2025-05-16 am,ARIZONA,La Paz County,85344,la paz county sheriff,635278,AZ0150000,Warrant Service Officer,21098,9041444,(001) Sheriff
2025-05-16 am,ARIZONA,NA,85211,mesa police,635287,AZ0071700,Jail Enforcement Model,508958,185896361,(003) Local Police
2025-05-16 am,ARIZONA,Navajo County,86025,navajo county sheriff,635291,AZ0090000,Warrant Service Officer,110445,1500000,(001) Sheriff
2025-05-16 am,ARIZONA,Pinal County,85132,pinal county sheriff,635313,AZ0110000,Jail Enforcement Model,447138,39698101,(001) Sheriff
2025-05-16 am,ARIZONA,Yavapai County,86301,yavapai county sheriff,635360,AZ0130000,Jail Enforcement Model,231993,38652644,(001) Sheriff
2025-05-16 am,ARKANSAS,Benton County,72712,benton county sheriff,630518,AR0040000,Jail Enforcement Model,272608,14646867,(001) Sheriff
2025-05-16 am,ARKANSAS,Craighead County,72401,craighead county sheriff,630599,AR0160000,Jail Enforcement Model,108558,7000000,(001) Sheriff
2025-05-16 am,COLORADO,Teller County,80814,teller county sheriff,636399,CO0600000,Jail Enforcement Model,25083,3532262,(001) Sheriff
2025-05-16 am,FLORIDA,Alachua County,32627,alachua county sheriff,636642,FL0010000,Task Force Model,269956,81932399,(001) Sheriff
2025-05-16 am,FLORIDA,Alachua County,32627,alachua county sheriff,636642,FL0010000,Warrant Service Officer,269956,81932399,(001) Sheriff
2025-05-16 am,FLORIDA,NA,34266,arcadia police,636648,FL0140100,Task Force Model,8201,1486823,(003) Local Police
2025-05-16 am,FLORIDA,Baker County,32063,baker county sheriff,636655,FL0020000,Warrant Service Officer,28355,10529660,(001) Sheriff
